latitude,longitude,brightness
14.56538,98.52155,330.63
14.56712,100.97626,338.57
14.60146,98.0079,332.15
14.60945,98.01657,336
14.61083,98.00268,337.97
14.61356,98.01663,333.48
14.61751,98.14149,340.91
14.61809,98.14515,342.08
14.62973,101.09792,332.04
14.6317,101.07859,330.03
14.63337,102.01959,333.77
14.64877,101.03944,330.18
14.64938,98.20187,342.76
14.6504,98.20528,341.78
14.65232,100.67447,337.36
14.66029,100.67291,340.44
14.6607,100.67289,338.74
14.66295,101.4739,346.03
14.66694,101.47314,346.29
14.67023,98.20189,333.82
14.67175,100.25174,333.96
14.67366,99.2815,336.63
14.67427,98.19634,342.16
14.67517,98.20096,343.99
14.68456,101.66828,333.45
14.71535,99.20451,330.6
14.72072,98.19836,330.35
14.72346,98.99374,334.14
14.72534,101.23383,332.82
14.72671,98.203,331.28
14.72944,99.32635,343.34
14.73147,98.25507,345.34
14.73164,98.20206,333.64
14.73274,98.20116,331.53
14.74043,98.32917,355.45
14.74162,98.36213,332.26
14.7464,98.33398,336.95
14.75155,98.36121,341.1
14.75161,98.19956,340.71
14.75223,100.48667,333.44
14.75247,98.36607,340.97
14.75278,98.19898,339.53
14.75705,98.17397,342.75
14.75738,98.36528,339.7
14.75801,98.17331,342.8
14.75929,98.18599,335.15
14.77313,99.43662,333.26
14.77316,98.34174,338.17
14.77529,98.34038,340.24
14.78675,98.33323,330.79
14.78883,98.33188,333.8
14.79692,100.09396,342.83
14.79715,98.40089,341.69
14.79919,98.33311,340.35
14.79939,98.40108,341.35
14.80016,98.33813,345.67
14.80195,98.39966,342.54
14.80798,100.15384,342.95
14.83279,98.45531,340.58
14.83752,99.24615,334.08
14.84105,99.24662,333.65
14.84112,98.0985,330.03
14.84155,98.10066,344.54
14.84228,98.10444,347.72
14.84264,98.10644,340.52
14.86364,98.88026,335.28
14.86487,98.87867,331.36
14.86758,102.25728,343.1
14.87585,98.31043,330.63
14.877,98.30799,342.64
14.89572,101.25482,340.16
14.9115,98.44736,339.66
14.91257,100.23888,339.55
14.91468,100.23923,339.73
14.93643,100.4227,338.2
14.93979,100.42254,340.93
14.94473,100.23352,347.21
14.94702,98.79715,333.43
14.94982,99.47498,341.89
14.9543,99.47392,336.45
14.95881,99.47305,344.27
14.98344,100.05115,337.93
14.98746,98.77622,341.38
14.99635,99.99957,341.56
14.99658,100.10103,342.02
14.99733,100.10162,343.95
15.00158,99.32008,332.23
15.00237,99.3243,350.34
15.02678,99.32883,333.25
15.03217,99.43365,336.62
15.03354,100.05489,341.26
15.04141,100.26743,331.09
15.05201,100.08234,343.13
15.05967,98.79626,337.76
15.06506,100.27583,337.51
15.07361,100.27419,338.59
15.07708,100.4137,330.08
15.07958,99.38589,331.81
15.08052,99.8913,331.67
15.08567,100.26759,338.1
15.10865,100.04256,332.34
15.11873,100.30409,331.86
15.11991,99.47455,349.5
15.134,98.0159,332.38
15.13526,102.07399,339.12
15.14017,99.38292,331.53
15.14711,102.0639,342.17
15.14796,102.06876,340.5
15.15399,98.41228,336.77
15.15798,100.28551,334.08
15.16196,101.80652,343.68
15.16224,100.2847,337.72
15.16829,98.64119,341.88
15.16887,98.4898,340.51
15.16933,98.64378,332.05
15.20357,102.16302,349.23
15.20988,101.59578,337.28
15.21051,100.18515,331.09
15.2299,99.25549,337.62
15.23396,99.17539,343.43
15.2356,99.18424,338.62
15.23647,99.18892,343.66
15.23933,99.17878,334.71
15.24016,99.18329,346.2
15.24102,99.1879,349.67
15.24569,99.26431,332.15
15.24644,99.19161,338.2
15.25027,99.19268,334.56
15.25146,100.70293,349.84
15.25272,99.22572,333.5
15.25363,99.23064,333.86
15.25497,99.26356,334.57
15.25943,99.26221,338.54
15.26165,99.252,345.55
15.26191,99.25002,338.69
15.26268,99.25735,345.81
15.26288,99.25529,348.78
15.26388,99.26079,336.99
15.26424,99.24088,330.73
15.26519,99.24585,352.31
15.26552,99.24395,342.51
15.26616,99.25089,335.03
15.26643,99.24895,342.17
15.29896,103.73804,334.36
15.30624,99.44105,332.11
15.30728,99.4421,330.53
15.33931,99.46395,330.22
15.37074,98.25848,337.64
15.3811,103.77737,342.54
15.38635,100.0568,337.23
15.38643,100.70913,337.22
15.38777,100.90573,344.96
15.40134,101.33382,338.63
15.41471,98.56731,335.43
15.42189,97.80251,333.72
15.4222,98.55485,343.16
15.42447,102.0725,339.34
15.42965,102.67299,338.57
15.43255,98.30246,330.96
15.43599,99.63734,335.26
15.4372,98.30058,335.73
15.43764,98.32858,338.95
15.43992,100.77048,344.89
15.4416,100.76604,334.86
15.44231,100.76988,345.03
15.44339,98.09758,347.35
15.46509,98.70399,342.4
15.46616,99.3881,344.96
15.47056,97.81268,340.9
15.47525,98.68012,335.24
15.48052,97.81062,341.04
15.48278,99.37724,339.86
15.48351,99.3812,335.48
15.48642,100.03812,332.83
15.48731,98.50803,336.65
15.48873,99.38425,343.87
15.48946,99.3882,351.19
15.49025,99.39249,353.99
15.49559,99.39616,346.93
15.49745,99.35567,339.99
15.49821,99.35983,367
15.49848,99.35777,367
15.49899,99.36404,347.37
15.49928,99.36195,355.37
15.50266,99.35866,347.48
15.50344,99.36293,338.63
15.50373,99.36085,335.16
15.5042,99.36703,343.93
15.50452,99.365,367
15.50458,100.85629,337.34
15.50708,99.35732,333.05
15.50731,99.35512,333.91
15.50776,98.19632,331.32
15.50866,99.36594,347.19
15.50978,99.36809,334.1
15.51068,99.35155,367
15.5109,99.34946,367
15.51149,99.35592,337.51
15.51171,99.35376,348.63
15.51443,99.34651,335.43
15.5152,99.35072,355.04
15.51543,99.34876,354.92
15.51599,99.35505,347.98
15.51623,99.353,355.58
15.52593,98.6068,350.12
15.54381,98.75167,342.67
15.55047,98.73564,336.71
15.55656,100.61632,343.45
15.55662,99.44376,342.08
15.56109,99.4429,335.75
15.56382,104.34566,341.54
15.58328,100.81065,348.38
15.58704,99.43298,340.19
15.59171,98.46282,336.25
15.59828,99.7878,337.84
15.60382,101.27477,348.77
15.60401,98.52671,341.51
15.60778,101.27394,341.93
15.61247,98.93639,335
15.62107,100.44559,340.39
15.62701,100.57867,339.22
15.62824,100.5786,344.2
15.63372,101.561,339.61
15.63802,99.3727,341.71
15.63905,98.42555,333.51
15.64801,98.47299,346.07
15.64853,101.82722,335.94
15.65018,98.53664,338.37
15.65726,104.0113,341.44
15.66608,101.85941,339.1
15.67608,100.41447,342.24
15.68511,98.40772,331.14
15.70147,98.51798,355.96
15.72052,100.08662,332.52
15.72481,99.33301,335.42
15.72561,98.11054,340.23
15.72626,98.41568,341.87
15.72776,99.29948,344.58
15.72791,99.3309,344.71
15.74894,101.90472,337.32
15.78154,100.4487,335.07
15.79078,98.1607,344.63
15.79219,99.24467,344.01
15.79562,98.15974,333.08
15.79808,101.17149,349.6
15.80055,99.23932,340.26
15.80138,99.24386,344.32
15.80208,101.17079,339.48
15.80227,99.24075,347.7
15.80272,101.1744,353.27
15.80352,101.08506,356.31
15.80607,101.17007,339.62
15.80752,99.26814,333.28
15.81013,99.26601,350.89
15.81101,99.27078,332.58
15.81108,99.26235,330.93
15.81201,99.26721,340.1
15.8215,98.5022,347.32
15.84202,99.20372,340.3
15.8476,99.20848,332.25
15.85148,99.49818,341.2
15.85245,99.49679,340
15.85327,99.50127,343.99
15.85591,99.49734,344.18
15.86799,99.24233,330.01
15.87397,98.97599,355.6
15.87409,98.57261,351.09
15.87516,102.41854,342.17
15.87528,98.9777,342.84
15.88133,99.18851,332.12
15.88715,98.43114,333.76
15.89041,99.18697,334.81
15.89939,98.34122,337.7
15.90099,99.93549,345.88
15.91173,98.32801,339.03
15.9123,100.16605,331.45
15.91564,102.04728,337.03
15.92034,101.54965,340.67
15.93769,101.51144,331.59
15.94075,101.73701,340.15
15.94128,101.73487,336.55
15.94458,98.79359,334.97
15.94751,102.16377,335.26
15.94878,99.74937,338.88
15.95002,102.06584,337.11
15.95087,102.07079,338.75
15.95117,101.51952,347.1
15.95218,98.71653,331.52
15.95383,102.06533,335.22
15.95468,102.0703,350.96
15.95553,102.07526,343.38
15.95849,102.06982,344.7
15.95934,102.07479,347.17
15.9595,100.44749,343.33
15.96635,99.84412,340.54
15.97778,100.50065,344.6
15.97849,100.50455,350.4
15.98192,100.49986,344.96
15.98263,100.50375,353.96
15.98333,100.50764,345.56
15.98677,100.50295,354.65
15.98748,100.50684,344.67
15.98813,102.12968,339.53
15.98886,102.13393,345.68
15.9896,97.69058,331.28
16.00817,98.4964,335.79
16.01294,98.49573,331.86
16.01563,97.58474,330.89
16.03797,99.2386,342.68
16.04004,102.68127,339.79
16.04368,102.6806,334.58
16.05284,98.57594,356.24
16.0567,98.31405,341.58
16.05737,98.31654,343.96
16.07215,103.75802,337.44
16.07562,103.75741,339.56
16.07633,102.10411,344.31
16.07779,98.6302,343.34
16.07937,102.09924,334.34
16.08018,98.5918,338.96
16.09515,98.33334,334.58
16.09973,98.38226,334.26
16.10032,100.85453,337.98
16.11099,98.60068,335.1
16.11196,97.945,350.66
16.11336,98.60236,352.25
16.11367,98.79362,348.4
16.11564,98.59962,336.46
16.11591,97.94661,336.19
16.11658,98.60458,342.21
16.11802,98.6013,356.56
16.12991,101.18702,347.75
16.13258,97.94667,342.84
16.13389,101.18639,348.1
16.13962,98.65022,347.85
16.14486,98.51388,331.63
16.14765,98.82162,337.02
16.15645,98.52341,330.18
16.163,99.25275,330.69
16.16383,98.61245,341.34
16.16397,99.66501,343.89
16.1674,101.42348,331.04
16.17195,97.67495,332.29
16.17521,99.72574,330.17
16.18764,102.09692,339.34
16.18798,100.46108,343.52
16.18869,100.46498,336.92
16.19777,98.68888,338.94
16.20316,100.91479,337.44
16.20978,102.60371,338.25
16.21054,98.5777,337.48
16.21847,98.56171,336.12
16.22257,101.85278,344.06
16.22493,100.33206,331.69
16.22592,100.33203,332.04
16.2306,101.83128,336.49
16.23146,101.8362,346.68
16.23442,101.83065,332.87
16.23486,99.70573,334.36
16.23527,101.83556,350.4
16.23611,101.84042,339.32
16.23631,100.98546,341.05
16.23651,100.27243,334.21
16.23694,100.98904,345.01
16.23716,100.98554,341.58
16.2378,100.98911,339.17
16.23845,101.20801,334.32
16.23909,101.83494,345.87
16.23993,101.83981,337.02
16.24053,99.13696,345.33
16.24121,101.82451,330.19
16.24375,101.8392,334.91
16.24429,99.13216,345.25
16.24457,101.66084,332.97
16.24459,101.84406,367
16.24503,101.82388,342.75
16.24588,101.82877,351.99
16.24589,101.65799,346.43
16.24672,101.83368,350.54
16.24679,101.6507,330.14
16.24842,101.66017,332.53
16.24842,101.8435,330.13
16.24859,101.28867,333.96
16.24884,101.8232,340.58
16.24969,101.82812,354.34
16.25054,101.83307,337.85
16.25436,101.83243,335.12
16.25521,101.83739,341.68
16.25617,98.40353,334.46
16.26345,99.15929,341.86
16.26429,100.99834,337.11
16.26693,101.20763,332.24
16.26764,100.994,336.35
16.26783,101.21274,334.74
16.26825,100.99738,338.53
16.26983,101.2106,339.24
16.27202,99.25353,340.86
16.27435,99.14294,334.76
16.27456,98.37127,332.35
16.2757,101.21114,335.42
16.27629,99.12848,339.32
16.27674,98.35681,341.68
16.27694,98.48661,354.51
16.27862,101.2141,343.41
16.27883,99.14196,331.4
16.27998,99.12327,343.98
16.28356,101.20942,336.81
16.28446,101.21463,343.02
16.28647,101.21239,341.81
16.28702,98.17976,337.72
16.29128,101.84695,330.9
16.29265,102.1231,343.1
16.2948,102.11308,346.28
16.29493,101.86777,337.26
16.29572,99.23174,341.31
16.29624,98.66379,340.24
16.29637,102.12226,347.92
